Code fixed with forwarding and branch fix (like Figure C.25),,,,,,,,,,,,,,cycle number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instructions,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105
11,,add,"x7, x10, x7",,,,,,,,,,,,,,,IF,S,ID,EX,M,WB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,subi,"x5, x5, 1",,,,,,,,,,,,,,,,,IF,ID,EX,M,WB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,bne,"x5, x0, loop",,,,,,,,,,,,,,,,,,IF,S,ID,EX,M,WB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Loop,addi,"x6, x6, 4",,,,,,,,,,,,,,,,,,,,S,IF,ID,EX,M,WB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,lw,"x10, 0(x6)",,,,,,,,,,,,,,,,,,,,,,IF,ID,EX,M,WB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,add,"x7, x10, x7",,,,,,,,,,,,,,,,,,,,,,,IF,S,ID,EX,M,WB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,subi,"x5, x5, 1",,,,,,,,,,,,,,,,,,,,,,,,,IF,ID,EX,M,WB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,bne,"x5, x0, loop",,,,,,,,,,,,,,,,,,,,,,,,,,IF,S,ID,EX,M,WB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Loop,addi,"x6, x6, 4",,,,,,,,,,,,,,,,,,,,,,,,,,,,S,IF,ID,EX,M,WB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,lw,"x10, 0(x6)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IF,ID,EX,M,WB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,add,"x7, x10, x7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IF,S,ID,EX,M,WB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,subi,"x5, x5, 1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IF,ID,EX,M,WB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,bne,"x5, x0, loop",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IF,S,ID,EX,M,WB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Loop,addi,"x6, x6, 4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,IF,ID,EX,M,WB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,,lw,"x10, 0(x6)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IF,ID,EX,M,WB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,,add,"x7, x10, x7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IF,S,ID,EX,M,WB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,,subi,"x5, x5, 1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IF,ID,EX,M,WB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,,bne,"x5, x0, loop",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IF,S,ID,EX,M,WB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Loop,addi,"x6, x6, 4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,IF,ID,EX,M,WB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,,lw,"x10, 0(x6)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IF,ID,EX,M,WB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,,add,"x7, x10, x7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IF,S,ID,EX,M,WB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,,subi,"x5, x5, 1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IF,ID,EX,M,WB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,,bne,"x5, x0, loop",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IF,S,ID,EX,M,WB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Loop,addi,"x6, x6, 4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,IF,ID,EX,M,WB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,,lw,"x10, 0(x6)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IF,ID,EX,M,WB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,,add,"x7, x10, x7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IF,S,ID,EX,M,WB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,,subi,"x5, x5, 1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IF,ID,EX,M,WB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,,bne,"x5, x0, loop",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IF,S,ID,EX,M,WB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Loop,addi,"x6, x6, 4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,IF,ID,EX,M,WB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,,lw,"x10, 0(x6)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IF,ID,EX,M,WB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,,add,"x7, x10, x7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IF,S,ID,EX,M,WB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,,subi,"x5, x5, 1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IF,ID,EX,M,WB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,,bne,"x5, x0, loop",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IF,S,ID,EX,M,WB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Loop,addi,"x6, x6, 4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,IF,ID,EX,M,WB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,,lw,"x10, 0(x6)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IF,ID,EX,M,WB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,,add,"x7, x10, x7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IF,S,ID,EX,M,WB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,,subi,"x5, x5, 1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IF,ID,EX,M,WB,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,,bne,"x5, x0, loop",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IF,S,ID,EX,M,WB,,,,,,,,,,,,,,,,,,,,,,,,,,
49,*done,j,done,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,IF,ID,EX,M,WB,,,,,,,,,,,,,,,,,,,,,,,,
